start
2 = MKS-20211020-Plants_and_Animals_4-M
1 = MKS-20211020-Plants_and_Animals_4-M
Pitch object already exists
Pitch object ID is 3
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ìín	start: 44.4978102051447	end: 44.87760138891721
step #9/15	fMin: 156.15101377845454	fMax: 157.15786585339433	fMean: 156.6985565352609	stdev: 0.4625168858254713
step #10/15	fMin: 156.29750389915054	fMax: 156.3532672884367	fMean: 156.341575926328	stdev: --undefined--
step #11/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #24	label: à	start: 84.5100801291328	end: 84.64641542587165
step #1/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/13	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
